"Notes"	"State"	"State Code"	"Year"	"Year Code"	"Gender"	"Gender Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"1999"	"1999"	"Female"	"F"	155	2293259	6.8
	"Alabama"	"01"	"1999"	"1999"	"Male"	"M"	632	2136882	29.6
	"Alabama"	"01"	"2000"	"2000"	"Female"	"F"	136	2300596	5.9
	"Alabama"	"01"	"2000"	"2000"	"Male"	"M"	628	2146504	29.3
	"Alabama"	"01"	"2001"	"2001"	"Female"	"F"	128	2309496	5.5
	"Alabama"	"01"	"2001"	"2001"	"Male"	"M"	609	2158138	28.2
	"Alabama"	"01"	"2002"	"2002"	"Female"	"F"	112	2314370	4.8
	"Alabama"	"01"	"2002"	"2002"	"Male"	"M"	612	2165719	28.3
	"Alabama"	"01"	"2003"	"2003"	"Female"	"F"	132	2324069	5.7
	"Alabama"	"01"	"2003"	"2003"	"Male"	"M"	632	2179422	29.0
	"Alabama"	"01"	"2004"	"2004"	"Female"	"F"	117	2337857	5.0
	"Alabama"	"01"	"2004"	"2004"	"Male"	"M"	560	2192872	25.5
	"Alabama"	"01"	"2005"	"2005"	"Female"	"F"	121	2356423	5.1
	"Alabama"	"01"	"2005"	"2005"	"Male"	"M"	610	2213382	27.6
	"Alabama"	"01"	"2006"	"2006"	"Female"	"F"	122	2385480	5.1
	"Alabama"	"01"	"2006"	"2006"	"Male"	"M"	656	2243501	29.2
	"Alabama"	"01"	"2007"	"2007"	"Female"	"F"	143	2407275	5.9
	"Alabama"	"01"	"2007"	"2007"	"Male"	"M"	668	2265565	29.5
	"Alabama"	"01"	"2008"	"2008"	"Female"	"F"	138	2430257	5.7
	"Alabama"	"01"	"2008"	"2008"	"Male"	"M"	681	2287949	29.8
	"Alabama"	"01"	"2009"	"2009"	"Female"	"F"	151	2448159	6.2
	"Alabama"	"01"	"2009"	"2009"	"Male"	"M"	678	2309779	29.4
	"Alabama"	"01"	"2010"	"2010"	"Female"	"F"	127	2459548	5.2
	"Alabama"	"01"	"2010"	"2010"	"Male"	"M"	654	2320188	28.2
	"Alabama"	"01"	"2011"	"2011"	"Female"	"F"	141	2470995	5.7
	"Alabama"	"01"	"2011"	"2011"	"Male"	"M"	643	2328923	27.6
	"Alabama"	"01"	"2012"	"2012"	"Female"	"F"	131	2479614	5.3
	"Alabama"	"01"	"2012"	"2012"	"Male"	"M"	698	2336346	29.9
	"Alabama"	"01"	"2013"	"2013"	"Female"	"F"	138	2487129	5.5
	"Alabama"	"01"	"2013"	"2013"	"Male"	"M"	715	2342350	30.5
	"Alabama"	"01"	"2014"	"2014"	"Female"	"F"	139	2495181	5.6
	"Alabama"	"01"	"2014"	"2014"	"Male"	"M"	670	2348033	28.5
	"Alabama"	"01"	"2015"	"2015"	"Female"	"F"	170	2501401	6.8
	"Alabama"	"01"	"2015"	"2015"	"Male"	"M"	783	2352474	33.3
	"Alabama"	"01"	"2016"	"2016"	"Female"	"F"	179	2507714	7.1
	"Alabama"	"01"	"2016"	"2016"	"Male"	"M"	855	2355586	36.3
	"Alaska"	"02"	"1999"	"1999"	"Female"	"F"	16	301266	5.3 (Unreliable)
	"Alaska"	"02"	"1999"	"1999"	"Male"	"M"	71	323513	21.9
	"Alaska"	"02"	"2000"	"2000"	"Female"	"F"	16	302820	5.3 (Unreliable)
	"Alaska"	"02"	"2000"	"2000"	"Male"	"M"	99	324112	30.5
	"Alaska"	"02"	"2001"	"2001"	"Female"	"F"	14	305579	4.6 (Unreliable)
	"Alaska"	"02"	"2001"	"2001"	"Male"	"M"	81	328135	24.7
	"Alaska"	"02"	"2002"	"2002"	"Female"	"F"	34	309633	11.0
	"Alaska"	"02"	"2002"	"2002"	"Male"	"M"	91	332704	27.4
	"Alaska"	"02"	"2003"	"2003"	"Female"	"F"	18	313034	5.8 (Unreliable)
	"Alaska"	"02"	"2003"	"2003"	"Male"	"M"	102	335380	30.4
	"Alaska"	"02"	"2004"	"2004"	"Female"	"F"	15	317807	4.7 (Unreliable)
	"Alaska"	"02"	"2004"	"2004"	"Male"	"M"	101	341479	29.6
	"Alaska"	"02"	"2005"	"2005"	"Female"	"F"	18	320920	5.6 (Unreliable)
	"Alaska"	"02"	"2005"	"2005"	"Male"	"M"	98	346026	28.3
	"Alaska"	"02"	"2006"	"2006"	"Female"	"F"	14	325121	4.3 (Unreliable)
	"Alaska"	"02"	"2006"	"2006"	"Male"	"M"	97	350181	27.7
	"Alaska"	"02"	"2007"	"2007"	"Female"	"F"	11	327138	3.4 (Unreliable)
	"Alaska"	"02"	"2007"	"2007"	"Male"	"M"	109	353162	30.9
	"Alaska"	"02"	"2008"	"2008"	"Female"	"F"	17	329412	5.2 (Unreliable)
	"Alaska"	"02"	"2008"	"2008"	"Male"	"M"	122	358043	34.1
	"Alaska"	"02"	"2009"	"2009"	"Female"	"F"	16	337002	4.7 (Unreliable)
	"Alaska"	"02"	"2009"	"2009"	"Male"	"M"	86	361893	23.8
	"Alaska"	"02"	"2010"	"2010"	"Female"	"F"	27	340603	7.9
	"Alaska"	"02"	"2010"	"2010"	"Male"	"M"	116	369628	31.4
	"Alaska"	"02"	"2011"	"2011"	"Female"	"F"	24	346794	6.9
	"Alaska"	"02"	"2011"	"2011"	"Male"	"M"	101	375919	26.9
	"Alaska"	"02"	"2012"	"2012"	"Female"	"F"	18	350211	5.1 (Unreliable)
	"Alaska"	"02"	"2012"	"2012"	"Male"	"M"	111	380878	29.1
	"Alaska"	"02"	"2013"	"2013"	"Female"	"F"	25	351622	7.1
	"Alaska"	"02"	"2013"	"2013"	"Male"	"M"	119	385257	30.9
	"Alaska"	"02"	"2014"	"2014"	"Female"	"F"	22	351169	6.3
	"Alaska"	"02"	"2014"	"2014"	"Male"	"M"	123	385536	31.9
	"Alaska"	"02"	"2015"	"2015"	"Female"	"F"	37	351592	10.5
	"Alaska"	"02"	"2015"	"2015"	"Male"	"M"	138	386117	35.7
	"Alaska"	"02"	"2016"	"2016"	"Female"	"F"	35	353762	9.9
	"Alaska"	"02"	"2016"	"2016"	"Male"	"M"	136	388132	35.0
	"Arizona"	"04"	"1999"	"1999"	"Female"	"F"	132	2518299	5.2
	"Arizona"	"04"	"1999"	"1999"	"Male"	"M"	673	2505524	26.9
	"Arizona"	"04"	"2000"	"2000"	"Female"	"F"	112	2569575	4.4
	"Arizona"	"04"	"2000"	"2000"	"Male"	"M"	676	2561057	26.4
	"Arizona"	"04"	"2001"	"2001"	"Female"	"F"	119	2641676	4.5
	"Arizona"	"04"	"2001"	"2001"	"Male"	"M"	710	2631801	27.0
	"Arizona"	"04"	"2002"	"2002"	"Female"	"F"	133	2704217	4.9
	"Arizona"	"04"	"2002"	"2002"	"Male"	"M"	820	2692038	30.5
	"Arizona"	"04"	"2003"	"2003"	"Female"	"F"	122	2764077	4.4
	"Arizona"	"04"	"2003"	"2003"	"Male"	"M"	715	2746287	26.0
	"Arizona"	"04"	"2004"	"2004"	"Female"	"F"	110	2835606	3.9
	"Arizona"	"04"	"2004"	"2004"	"Male"	"M"	769	2816798	27.3
	"Arizona"	"04"	"2005"	"2005"	"Female"	"F"	113	2930811	3.9
	"Arizona"	"04"	"2005"	"2005"	"Male"	"M"	814	2908266	28.0
	"Arizona"	"04"	"2006"	"2006"	"Female"	"F"	139	3026134	4.6
	"Arizona"	"04"	"2006"	"2006"	"Male"	"M"	834	3003007	27.8
	"Arizona"	"04"	"2007"	"2007"	"Female"	"F"	113	3096998	3.6
	"Arizona"	"04"	"2007"	"2007"	"Male"	"M"	824	3070683	26.8
	"Arizona"	"04"	"2008"	"2008"	"Female"	"F"	151	3155278	4.8
	"Arizona"	"04"	"2008"	"2008"	"Male"	"M"	747	3125084	23.9
	"Arizona"	"04"	"2009"	"2009"	"Female"	"F"	160	3189908	5.0
	"Arizona"	"04"	"2009"	"2009"	"Male"	"M"	689	3153246	21.9
	"Arizona"	"04"	"2010"	"2010"	"Female"	"F"	134	3216194	4.2
	"Arizona"	"04"	"2010"	"2010"	"Male"	"M"	785	3175823	24.7
	"Arizona"	"04"	"2011"	"2011"	"Female"	"F"	130	3251455	4.0
	"Arizona"	"04"	"2011"	"2011"	"Male"	"M"	822	3215708	25.6
	"Arizona"	"04"	"2012"	"2012"	"Female"	"F"	154	3292904	4.7
	"Arizona"	"04"	"2012"	"2012"	"Male"	"M"	779	3256730	23.9
	"Arizona"	"04"	"2013"	"2013"	"Female"	"F"	147	3332399	4.4
	"Arizona"	"04"	"2013"	"2013"	"Male"	"M"	781	3292218	23.7
	"Arizona"	"04"	"2014"	"2014"	"Female"	"F"	154	3380147	4.6
	"Arizona"	"04"	"2014"	"2014"	"Male"	"M"	761	3339846	22.8
	"Arizona"	"04"	"2015"	"2015"	"Female"	"F"	167	3430082	4.9
	"Arizona"	"04"	"2015"	"2015"	"Male"	"M"	789	3387483	23.3
	"Arizona"	"04"	"2016"	"2016"	"Female"	"F"	185	3488176	5.3
	"Arizona"	"04"	"2016"	"2016"	"Male"	"M"	896	3442895	26.0
	"Arkansas"	"05"	"1999"	"1999"	"Female"	"F"	62	1359445	4.6
	"Arkansas"	"05"	"1999"	"1999"	"Male"	"M"	321	1292415	24.8
	"Arkansas"	"05"	"2000"	"2000"	"Female"	"F"	68	1368707	5.0
	"Arkansas"	"05"	"2000"	"2000"	"Male"	"M"	344	1304693	26.4
