"Notes"	"State"	"State Code"	"Year"	"Year Code"	"Injury Intent"	"Injury Intent Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"1999"	"1999"	"Unintentional"	"1"	51	4430141	1.2
	"Alabama"	"01"	"1999"	"1999"	"Suicide"	"2"	435	4430141	9.8
	"Alabama"	"01"	"1999"	"1999"	"Homicide"	"3"	293	4430141	6.6
	"Alabama"	"01"	"2000"	"2000"	"Unintentional"	"1"	34	4447100	0.8
	"Alabama"	"01"	"2000"	"2000"	"Suicide"	"2"	427	4447100	9.6
	"Alabama"	"01"	"2000"	"2000"	"Homicide"	"3"	294	4447100	6.6
	"Alabama"	"01"	"2001"	"2001"	"Unintentional"	"1"	41	4467634	0.9
	"Alabama"	"01"	"2001"	"2001"	"Suicide"	"2"	387	4467634	8.7
	"Alabama"	"01"	"2001"	"2001"	"Homicide"	"3"	302	4467634	6.8
	"Alabama"	"01"	"2002"	"2002"	"Unintentional"	"1"	45	4480089	1.0
	"Alabama"	"01"	"2002"	"2002"	"Suicide"	"2"	381	4480089	8.5
	"Alabama"	"01"	"2002"	"2002"	"Homicide"	"3"	292	4480089	6.5
	"Alabama"	"01"	"2003"	"2003"	"Unintentional"	"1"	38	4503491	0.8
	"Alabama"	"01"	"2003"	"2003"	"Suicide"	"2"	399	4503491	8.9
	"Alabama"	"01"	"2003"	"2003"	"Homicide"	"3"	322	4503491	7.2
	"Alabama"	"01"	"2004"	"2004"	"Unintentional"	"1"	31	4530729	0.7
	"Alabama"	"01"	"2004"	"2004"	"Suicide"	"2"	375	4530729	8.3
	"Alabama"	"01"	"2004"	"2004"	"Homicide"	"3"	262	4530729	5.8
	"Alabama"	"01"	"2005"	"2005"	"Unintentional"	"1"	37	4569805	0.8
	"Alabama"	"01"	"2005"	"2005"	"Suicide"	"2"	369	4569805	8.1
	"Alabama"	"01"	"2005"	"2005"	"Homicide"	"3"	319	4569805	7.0
	"Alabama"	"01"	"2006"	"2006"	"Unintentional"	"1"	37	4628981	0.8
	"Alabama"	"01"	"2006"	"2006"	"Suicide"	"2"	400	4628981	8.6
	"Alabama"	"01"	"2006"	"2006"	"Homicide"	"3"	333	4628981	7.2
	"Alabama"	"01"	"2007"	"2007"	"Unintentional"	"1"	24	4672840	0.5
	"Alabama"	"01"	"2007"	"2007"	"Suicide"	"2"	396	4672840	8.5
	"Alabama"	"01"	"2007"	"2007"	"Homicide"	"3"	378	4672840	8.1
	"Alabama"	"01"	"2007"	"2007"	"Undetermined "	"4"	13	4672840	0.3 (Unreliable)
	"Alabama"	"01"	"2008"	"2008"	"Unintentional"	"1"	32	4718206	0.7
	"Alabama"	"01"	"2008"	"2008"	"Suicide"	"2"	424	4718206	9.0
	"Alabama"	"01"	"2008"	"2008"	"Homicide"	"3"	349	4718206	7.4
	"Alabama"	"01"	"2008"	"2008"	"Undetermined "	"4"	14	4718206	0.3 (Unreliable)
	"Alabama"	"01"	"2009"	"2009"	"Unintentional"	"1"	28	4757938	0.6
	"Alabama"	"01"	"2009"	"2009"	"Suicide"	"2"	479	4757938	10.1
	"Alabama"	"01"	"2009"	"2009"	"Homicide"	"3"	317	4757938	6.7
	"Alabama"	"01"	"2010"	"2010"	"Unintentional"	"1"	35	4779736	0.7
	"Alabama"	"01"	"2010"	"2010"	"Suicide"	"2"	454	4779736	9.5
	"Alabama"	"01"	"2010"	"2010"	"Homicide"	"3"	283	4779736	5.9
	"Alabama"	"01"	"2011"	"2011"	"Unintentional"	"1"	25	4799918	0.5
	"Alabama"	"01"	"2011"	"2011"	"Suicide"	"2"	452	4799918	9.4
	"Alabama"	"01"	"2011"	"2011"	"Homicide"	"3"	292	4799918	6.1
	"Alabama"	"01"	"2011"	"2011"	"Undetermined "	"4"	15	4799918	0.3 (Unreliable)
	"Alabama"	"01"	"2012"	"2012"	"Unintentional"	"1"	14	4815960	0.3 (Unreliable)
	"Alabama"	"01"	"2012"	"2012"	"Suicide"	"2"	500	4815960	10.4
	"Alabama"	"01"	"2012"	"2012"	"Homicide"	"3"	306	4815960	6.4
	"Alabama"	"01"	"2013"	"2013"	"Unintentional"	"1"	25	4829479	0.5
	"Alabama"	"01"	"2013"	"2013"	"Suicide"	"2"	504	4829479	10.4
	"Alabama"	"01"	"2013"	"2013"	"Homicide"	"3"	317	4829479	6.6
	"Alabama"	"01"	"2014"	"2014"	"Unintentional"	"1"	29	4843214	0.6
	"Alabama"	"01"	"2014"	"2014"	"Suicide"	"2"	479	4843214	9.9
	"Alabama"	"01"	"2014"	"2014"	"Homicide"	"3"	292	4843214	6.0
	"Alabama"	"01"	"2015"	"2015"	"Unintentional"	"1"	20	4853875	0.4
	"Alabama"	"01"	"2015"	"2015"	"Suicide"	"2"	528	4853875	10.9
	"Alabama"	"01"	"2015"	"2015"	"Homicide"	"3"	391	4853875	8.1
	"Alabama"	"01"	"2015"	"2015"	"Undetermined "	"4"	14	4853875	0.3 (Unreliable)
	"Alabama"	"01"	"2016"	"2016"	"Unintentional"	"1"	21	4863300	0.4
	"Alabama"	"01"	"2016"	"2016"	"Suicide"	"2"	550	4863300	11.3
	"Alabama"	"01"	"2016"	"2016"	"Homicide"	"3"	454	4863300	9.3
